"","Sex","Age","Height","Weight","NOC","Medal","Sport","cluster"
"120803","M",22,185,80,"GER","Silver","Swimming",1
"120808","F",20,164,55,"GER","Silver","Athletics",3
"120819","M",16,172,52,"FRA","Silver","Rowing",3
"120827","M",41,170,50,"FRG","Gold","Rowing",3
"120828","M",44,170,50,"GER","Bronze","Rowing",3
"120829","M",27,174,77.5,"RUS","Silver","Wrestling",1
"120832","F",25,179,80,"NED","Gold","Water Polo",1
"120848","M",22,173,71,"GER","Silver","Diving",1
"120869","M",28,182,79,"NED","Gold","Hockey",1
"120875","M",22,211,122,"USA","Gold","Basketball",2
"120877","F",17,167,48,"USA","Gold","Swimming",3
"120880","M",24,188,86,"NED","Silver","Speed Skating",2
"120881","M",24,188,86,"NED","Gold","Speed Skating",2
"120883","M",28,188,86,"NED","Silver","Speed Skating",2
"120884","M",32,180,89,"GER","Silver","Canoeing",2
"120890","F",28,190,90,"GER","Silver","Athletics",2
"120898","M",22,199,95,"GER","Silver","Rowing",2
"120937","M",20,190,84,"SLO","Bronze","Rowing",2
"120945","M",27,176,80,"URS","Gold","Canoeing",1
"120946","M",31,176,80,"LAT","Silver","Canoeing",1
"120947","M",35,176,80,"LAT","Silver","Canoeing",1
"120955","M",35,178,67,"NOR","Gold","Nordic Combined",1
"120970","M",23,192,90,"POL","Bronze","Handball",2
"120989","M",26,190,92,"URS","Gold","Rowing",2
"121004","M",24,174,69,"AUS","Bronze","Sailing",1
"121007","M",30,186,76,"FRG","Bronze","Football",1
"121010","M",21,190,87,"URS","Silver","Rowing",2
"121029","F",18,171,60,"URS","Bronze","Swimming",3
"121031","M",23,176,70,"RUS","Silver","Speed Skating",1
"121032","M",23,176,70,"RUS","Bronze","Speed Skating",1
"121039","M",26,174,72,"URS","Bronze","Hockey",1
"121043","M",31,177,76,"URS","Bronze","Cycling",1
"121052","M",24,170,75,"GER","Silver","Cycling",1
"121061","F",23,175,66,"GDR","Gold","Rowing",1
"121080","M",18,191,81,"AUS","Bronze","Swimming",1
"121082","M",23,191,81,"AUS","Gold","Swimming",1
"121083","M",23,191,81,"AUS","Gold","Swimming",1
"121084","M",23,191,81,"AUS","Silver","Swimming",1
"121085","M",23,191,81,"AUS","Silver","Swimming",1
"121087","M",26,191,81,"AUS","Silver","Swimming",1
"121089","M",31,185,103,"URS","Gold","Athletics",2
"121090","M",35,185,103,"URS","Silver","Athletics",2
"121100","M",27,177,80,"TCH","Silver","Handball",1
"121112","M",19,169,61,"URS","Silver","Gymnastics",3
"121115","M",19,169,61,"URS","Bronze","Gymnastics",3
"121120","M",23,169,61,"URS","Silver","Gymnastics",3
"121122","M",23,169,61,"URS","Silver","Gymnastics",3
"121126","M",23,169,61,"URS","Gold","Gymnastics",3
"121137","F",40,172,58,"GER","Gold","Equestrianism",3
"121139","F",44,172,58,"GER","Gold","Equestrianism",3
"121141","F",48,172,58,"GER","Silver","Equestrianism",3
"121145","M",28,184,66,"GER","Gold","Equestrianism",1
"121146","M",32,184,66,"FRG","Bronze","Equestrianism",1
"121147","M",32,184,66,"FRG","Gold","Equestrianism",1
"121148","M",40,184,66,"FRG","Bronze","Equestrianism",1
"121149","M",40,184,66,"FRG","Gold","Equestrianism",1
"121150","M",48,184,66,"FRG","Gold","Equestrianism",1
"121151","M",48,184,66,"FRG","Gold","Equestrianism",1
"121153","M",52,184,66,"FRG","Gold","Equestrianism",1
"121184","M",35,189,90,"URS","Gold","Handball",2
"121185","F",17,165,47,"URS","Bronze","Figure Skating",3
"121186","F",21,165,47,"URS","Silver","Figure Skating",3
"121187","F",25,165,47,"EUN","Gold","Figure Skating",3
"121189","F",24,168,62,"URS","Bronze","Athletics",3
"121213","M",21,175,72,"CAN","Bronze","Ice Hockey",1
"121228","M",25,165,57,"HUN","Bronze","Wrestling",3
"121257","M",28,176,82,"FRG","Gold","Shooting",1
"121265","M",24,182,73,"FRG","Bronze","Football",1
"121269","M",27,174,63,"SWE","Gold","Athletics",3
"121277","M",20,195,105,"UKR","Gold","Boxing",2
"121284","M",29,195,102,"CRO","Gold","Handball",2
"121306","F",18,182,70,"UKR","Silver","Swimming",1
"121307","F",18,182,70,"UKR","Gold","Swimming",1
"121308","F",18,182,70,"UKR","Gold","Swimming",1
"121309","F",22,182,70,"UKR","Gold","Swimming",1
"121310","F",22,182,70,"UKR","Gold","Swimming",1
"121312","F",27,163,73,"RUS","Gold","Shooting",3
"121320","M",25,183,64,"GER","Bronze","Cycling",1
"121327","M",27,180,80,"AUT","Bronze","Rowing",1
"121329","M",30,180,80,"AUT","Silver","Rowing",1
"121331","M",24,194,88,"NED","Silver","Volleyball",2
"121333","M",25,182,105,"RUS","Silver","Weightlifting",2
"121356","M",28,183,73,"USA","Silver","Rowing",1
"121362","M",20,189,83,"GER","Silver","Football",1
"121365","M",22,187,75,"FRG","Bronze","Athletics",1
"121367","F",17,166,50,"GDR","Bronze","Gymnastics",3
"121373","M",20,169,65,"GDR","Bronze","Gymnastics",3
"121381","M",24,169,65,"GDR","Bronze","Gymnastics",3
"121396","F",21,178,65,"SWE","Gold","Athletics",1
"121399","F",19,170,68,"FRG","Gold","Fencing",3
"121401","M",29,190,102,"USA","Bronze","Snowboarding",2
"121406","F",23,186,82,"GDR","Gold","Rowing",1
"121412","M",22,191,85,"GER","Silver","Cycling",2
"121418","M",31,170,73,"FRG","Bronze","Equestrianism",1
"121431","M",25,174,74,"EST","Bronze","Athletics",1
"121433","M",26,163,51,"NED","Bronze","Rowing",3
"121446","F",25,185,90,"URS","Gold","Basketball",2
"121449","M",26,192,82,"RUS","Gold","Athletics",2
"121460","M",21,185,86,"POL","Silver","Football",2
"121461","F",18,170,60,"POL","Bronze","Athletics",3
"121462","F",18,170,60,"POL","Gold","Athletics",3
"121469","M",26,187,128,"TCH","Bronze","Wrestling",2
"121476","M",20,175,69,"POL","Gold","Football",1
"121477","M",24,175,69,"POL","Silver","Football",1
"121481","F",22,167,58,"GER","Silver","Athletics",3
"121491","F",18,164,60,"GDR","Bronze","Swimming",3
"121500","M",23,181,65,"SWE","Silver","Sailing",1
"121501","F",17,173,60,"SWE","Silver","Diving",3
"121502","F",17,173,60,"SWE","Gold","Diving",3
"121504","F",21,173,60,"SWE","Silver","Diving",3
"121519","F",18,170,57,"USA","Silver","Swimming",3
"121531","M",26,179,86,"AUT","Silver","Alpine Skiing",1
"121536","M",27,180,85,"GER","Gold","Hockey",1
"121539","M",27,178,70,"GDR","Silver","Biathlon",1
"121540","M",27,178,70,"GDR","Bronze","Biathlon",1
"121547","M",29,191,98,"SVK","Silver","Canoeing",2
"121550","M",20,178,71,"GDR","Silver","Athletics",1
